NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000839;2014;CACAPAVA;SP;18;F;1;2013;2;1;3;443.8;452.9;513.9;442;460;C
140000000840;2014;CAMPOS DOS GOYTACAZES;RJ;23;F;1;2010;1;1;2;;;;;0;B
140000000841;2014;SANTO ANDRE;SP;19;F;1;2013;1;1;1;554.1;637.9;573.3;520.9;500;B
140000000842;2014;FORTALEZA;CE;41;M;1;2004;1;1;3;532.7;595.5;592;485.4;760;C
140000000843;2014;MAUA;SP;20;F;1;2012;1;1;1;;;;;0;C
140000000844;2014;LONDRINA;PR;19;F;1;2012;1;1;1;521.7;575.9;512.2;439.8;480;H
140000000845;2014;MACEIO;AL;37;F;1;2004;2;1;3;427.1;553.7;485.2;415.3;600;B
140000000846;2014;GOIANIA;GO;43;M;1;2004;1;1;3;541.3;660.8;642.1;423.7;600;G
140000000847;2014;MONTES CLAROS;MG;25;F;1;2006;1;1;0;;;;;0;C
140000000848;2014;PARNAIBA;PI;28;M;1;2005;1;1;2;473.7;424.8;414.9;427.3;0;C
140000000849;2014;PALMAS;TO;18;F;3;;;;3;511.3;658.3;553.3;601.9;580;D
140000000850;2014;BAYEUX;PB;20;F;1;2012;1;1;4;473;538.4;514.1;372.2;320;B
140000000851;2014;JUNDIAI;SP;18;M;1;2013;1;1;3;488.7;632.7;430.3;471.5;840;H
140000000852;2014;SAO PAULO;SP;18;F;2;;1;1;3;486.7;553.6;549.2;456.7;660;C
140000000853;2014;BRASILIA;DF;19;M;2;;1;1;2;425.6;546.3;425.3;492.9;480;B
140000000854;2014;FORTALEZA;CE;54;F;1;2011;1;2;3;410.3;443;483.9;405;720;B
140000000855;2014;BRASILIA;DF;24;F;1;2007;1;1;3;435.4;517.3;509.3;440.5;480;A
140000000856;2014;SALVADOR;BA;22;M;1;2010;1;1;3;;;;;0;C
140000000857;2014;CRATO;CE;33;M;1;2005;2;2;1;;;;;0;B
140000000858;2014;POCOS DE CALDAS;MG;17;M;2;;2;1;3;739.9;665.7;592.3;802.8;780;G
140000000859;2014;BARREIRAS;BA;35;F;1;2004;1;1;3;453.1;552.5;531.4;340.1;620;B
140000000860;2014;RIO DE JANEIRO;RJ;41;M;2;;1;2;3;;;;;0;D
140000000861;2014;RONDONOPOLIS;MT;17;M;2;;1;1;3;579.9;599.6;620;657.6;820;G
140000000862;2014;ASSIS;SP;20;F;1;2011;1;1;1;;;;;0;C
140000000863;2014;MOSSORO;RN;27;F;1;2004;1;1;3;565;583.7;557;464.6;620;D
140000000864;2014;FEIRA DE SANTANA;BA;21;M;1;2013;1;1;3;479.9;530.7;489.2;545.5;480;B
140000000865;2014;NITEROI;RJ;26;M;1;2006;1;1;1;;;;;0;C
140000000866;2014;SAO LOURENCO DA MATA;PE;30;F;1;2004;1;1;3;466;498.7;480;375.6;360;B
140000000867;2014;SALVADOR;BA;18;F;2;;1;1;2;450.8;497.9;529.2;482;320;B
140000000868;2014;BELEM;PA;47;F;1;2004;1;1;2;413.5;532.1;;;0;F
140000000869;2014;ANANINDEUA;PA;19;F;2;;1;1;2;493.5;606.9;569.2;434.8;360;E
140000000870;2014;SAO PAULO;SP;28;F;1;2004;1;1;1;544.2;613.4;580.7;530.4;560;D
140000000871;2014;ANANINDEUA;PA;19;F;1;2013;1;1;1;467;524.9;502.3;392.3;440;G
140000000872;2014;RIO DAS OSTRAS;RJ;24;F;1;2011;1;2;1;503.8;578;575.7;463.6;360;D
140000000873;2014;ITABIRA;MG;24;F;1;2008;1;1;1;520.2;587.6;;;0;C
140000000874;2014;SETE LAGOAS;MG;18;M;2;;1;1;2;592.5;622;586.9;749.1;760;C
140000000875;2014;SAO GONCALO;RJ;51;F;1;2004;1;1;1;503.2;605.3;518.9;425.3;560;D
140000000876;2014;SAO BERNARDO DO CAMPO;SP;23;F;1;2008;1;1;1;444.5;598.7;581.3;493;600;F
140000000877;2014;ITAPEVI;SP;22;M;1;2009;1;1;2;501.1;589.5;528.4;339;320;C
140000000878;2014;SAO PAULO;SP;32;F;1;2004;1;1;1;;;;;0;D
140000000879;2014;MACEIO;AL;21;M;1;2011;1;1;3;496.2;566.8;529;436.2;280;E
140000000880;2014;TIMON;MA;29;F;1;2004;1;1;2;;;;;0;B
140000000881;2014;EUNAPOLIS;BA;23;M;1;2010;1;1;2;582.2;609.2;567;459.2;780;B
140000000882;2014;BELO HORIZONTE;MG;25;M;1;2007;2;1;1;705.9;675.4;641.8;856.3;800;I
140000000883;2014;FRANCISCO MORATO;SP;23;M;1;2008;1;1;3;399.6;534.9;;;0;F
140000000884;2014;CAMPINAS;SP;43;M;1;2004;1;1;0;;;;;0;B
140000000885;2014;OSASCO;SP;22;F;1;2009;1;1;1;529.1;515.8;459.9;355.9;560;C
140000000886;2014;NATAL;RN;27;F;1;2004;1;1;1;;;;;0;B
140000000887;2014;UBERLANDIA;MG;43;F;1;2004;1;1;1;381;628;563.1;576.2;660;D
140000000888;2014;BELO HORIZONTE;MG;19;F;1;2012;1;1;1;452.2;559.6;592.3;554.5;540;B
140000000889;2014;RECIFE;PE;19;F;1;2011;2;1;1;743.9;699.2;644.2;828.2;820;Q
140000000890;2014;BELEM;PA;33;F;1;2004;1;1;3;;;;;0;I
140000000891;2014;SALVADOR;BA;33;M;1;2004;1;1;2;591.6;668.6;607.1;609.5;440;M
140000000892;2014;JABOATAO DOS GUARARAPES;PE;22;F;1;2009;1;1;1;408.4;579.4;;;0;C
140000000893;2014;CAMPO GRANDE;MS;34;M;1;2004;1;1;3;423.5;560.2;479.3;382.6;240;C
140000000894;2014;SAO JOSE DOS CAMPOS;SP;71;M;1;2006;1;2;1;;;;;0;E
140000000895;2014;BRASILIA;DF;21;F;1;2010;1;1;3;474;563.7;499.4;544.1;460;C
140000000896;2014;SOROCABA;SP;18;M;1;2013;1;1;3;446.6;540.8;585.9;563;380;D
140000000897;2014;URUGUAIANA;RS;27;F;1;2004;1;1;1;461;585.5;491.8;503.4;400;F
140000000898;2014;MACAPA;AP;16;M;3;;;;3;;;;;0;B
140000000899;2014;SAO MATEUS;ES;25;F;1;2006;1;1;3;478.2;577.7;583.6;569;460;C
140000000900;2014;MANAUS;AM;23;M;4;;;;3;390;620.1;540.4;402;620;B
140000000901;2014;OSASCO;SP;21;F;1;2010;1;1;3;539.2;585.6;555;469.3;600;B
140000000902;2014;UBERLANDIA;MG;26;M;1;2006;1;2;2;472.1;560.9;527.1;480.3;520;C
140000000903;2014;ANANINDEUA;PA;18;M;1;2013;1;1;3;601;667.9;567.1;511;600;B
140000000904;2014;BOA VISTA;RR;21;M;1;2012;1;1;2;;;;;0;C
140000000905;2014;SALVADOR;BA;40;M;1;2004;1;1;2;637.4;703.2;644.8;417;560;D
140000000906;2014;SAO PAULO;SP;25;F;4;;;;1;452.2;563.9;541.1;375.5;500;C
140000000907;2014;BELO HORIZONTE;MG;25;M;1;2012;1;2;3;455.2;467.4;461.9;367.1;460;B
140000000908;2014;CAMPO GRANDE;MS;24;M;1;2007;1;1;2;504.8;568.6;504.6;505.2;440;C
140000000909;2014;TOLEDO;PR;19;F;4;;;;1;;;;;0;B
140000000910;2014;CURITIBA;PR;27;F;1;2004;2;1;1;557;651.7;598.4;616.2;760;B
140000000911;2014;RIO DE JANEIRO;RJ;22;F;1;2011;1;2;4;545.5;417.5;472.5;387;520;B
140000000912;2014;SAO PAULO;SP;32;M;1;2012;1;2;1;534.3;493.2;438.1;448.5;400;C
140000000913;2014;BELO HORIZONTE;MG;48;F;4;;;;1;385.2;517;447;358.2;280;D
140000000914;2014;SAO PAULO;SP;17;F;2;;1;1;3;;;;;0;B
140000000915;2014;INDAIATUBA;SP;21;M;4;;;;1;375.2;484.8;547.9;539.4;500;I
140000000916;2014;TERESINA;PI;20;M;1;2012;1;1;2;;;;;0;B
140000000917;2014;BOA VISTA;RR;20;F;1;2011;1;1;3;469.2;513.5;465.8;410.2;520;D
140000000918;2014;ARUJA;SP;22;M;1;2011;1;2;1;456.5;587.6;559.9;476.5;520;F
140000000919;2014;BELEM;PA;21;M;1;2009;2;1;2;;;;;0;J
140000000920;2014;CONTAGEM;MG;24;M;2;;1;2;2;;;;;0;D
140000000921;2014;SAO GONCALO;RJ;18;F;1;2013;2;1;3;;;;;0;C
140000000922;2014;ARAGUAINA;TO;19;F;1;2012;1;1;3;570.5;635;548.6;584.7;560;B
140000000923;2014;SAO PAULO;SP;20;F;1;2011;1;1;3;502.3;568.1;535.8;371;440;C
140000000924;2014;FRANCO DA ROCHA;SP;17;F;2;;1;1;3;438.5;549.1;523.5;546.2;480;G
